日期(0), 名稱(1), 開盤價(2), 高點(3), 低點(4), 收盤價(5), 成交量(6)

2000/01/04,A,37.5,38.9,37.1,38.4,76708
2000/01/04,B,75.5,76.5,74.5,75.5,16394
2000/01/04,C,52,53.5,51,53.5,86212
2000/01/05,A,37.5,39.2,37.5,38,60409
2000/01/05,B,75.5,79.5,75.5,78,23859
2000/01/05,C,53.5,56.5,53.5,56,106415
2000/01/06,A,37.9,38.4,37,37,53245
2000/01/06,B,79,82,79,81,29463
2000/01/06,C,57,57,55,55.5,92246
2000/01/07,A,37,37.9,36.5,36.5,41521
2000/01/07,B,81,82,78,78,15812
2000/01/07,C,56,57,54.5,55,71459
2000/01/10,A,36.8,37.5,36.2,37.3,42792
2000/01/10,B,79,80,78,79,11735
2000/01/10,C,58.5,58.5,57,58,72691
2000/01/11,A,37.7,38.3,35.7,35.7,49967
2000/01/11,B,80.5,84,80,81.5,42895
2000/01/11,C,59.5,60,55,55.5,76755
2000/01/12,A,36,36.9,36,36.1,36607
2000/01/12,B,82,84,81.5,82,23642
2000/01/12,C,56,57,55.5,56.5,38226
2000/01/13,A,36.5,37.5,36.4,36.6,42001
2000/01/13,B,84.5,87.5,84.5,87.5,51444
2000/01/13,C,56.5,58,55.5,56,53845
2000/01/14,A,37.3,37.3,36.3,36.3,27417
2000/01/14,B,89,90.5,88,89,63900
2000/01/14,C,57,57,54.5,54.5,33824
2000/01/15,A,38.8,38.8,37.8,38,85511
2000/01/15,B,91,91,88,88.5,25677
2000/01/15,C,55,56,54.5,55,27262
2000/01/17,A,38.5,38.5,37.6,38,53418
2000/01/17,B,89.5,91.5,89,90,22129
2000/01/17,C,56,56.5,55.5,55.5,29946
2000/01/18,A,37,37.5,36.5,36.7,46066
2000/01/18,B,90.5,90.5,87.5,88.5,12409
2000/01/18,C,56,56,55,56,29852
2000/01/19,A,36.6,37.2,36.3,36.5,30258
2000/01/19,B,88,88.5,86,86,12034
2000/01/19,C,56.5,57,55.5,55.5,29713
2000/01/20,A,36.9,37.5,36.4,36.7,29333
2000/01/20,B,86,87.5,85,87.5,12319
2000/01/20,C,55.5,56,55,55,22064
2000/01/21,A,36.8,37.5,36.8,37,29169
2000/01/21,B,88.5,91,87.5,91,20388
2000/01/21,C,55.5,57,55.5,57,57652
2000/01/24,A,37.6,39.2,37.4,39,93698
2000/01/24,B,91,92.5,91,91,24302
2000/01/24,C,57,58,56.5,57.5,58202
2000/01/25,A,39.2,39.2,38,38.3,46838
2000/01/25,B,91,91,89,89,11267
2000/01/25,C,57.5,57.5,56,56,23544
2000/01/26,A,38.9,39.5,38.4,38.6,64145
2000/01/26,B,89,90.5,89,89,16322
2000/01/26,C,56.5,57.5,56.5,56.5,35766
2000/01/27,A,39.5,39.7,38.5,38.5,56914
2000/01/27,B,90,91.5,89.5,90,19728
2000/01/27,C,57,58,56.5,56.5,49785
2000/01/28,A,38.7,39.5,38.5,38.8,53402
2000/01/28,B,92,96,92,95.5,42837
2000/01/28,C,57,59.5,57,58.5,90889
2000/01/29,A,39.2,39.9,38.8,39,62754
2000/01/29,B,95,95.5,92.5,93,15285
2000/01/29,C,58.5,58.5,57,57.5,31747
2000/01/31,A,39.5,40.2,39.3,39.6,62581
2000/01/31,B,93,94.5,93,93.5,12195
2000/01/31,C,58,58,57,57.5,26496
2000/02/01,A,40.5,40.6,40,40,60997
2000/02/01,B,95,96.5,94.5,95,22052
2000/02/01,C,58,59.5,58,59,60428
2000/02/09,A,40.9,40.9,39.1,39.1,53986
2000/02/09,B,97,97,94,94.5,17896
2000/02/09,C,61,61,59,60,68051
2000/02/10,A,39.1,39.9,38.5,38.5,39875
2000/02/10,B,94.5,97,94.5,94.5,15039
2000/02/10,C,60,61.5,59.5,59.5,62630
2000/02/11,A,38.9,39.2,38.1,38.4,50424
2000/02/11,B,95,95.5,93,93,13656
2000/02/11,C,60,60.5,58.5,58.5,43588
2000/02/14,A,38,38.1,36.6,36.8,64944
2000/02/14,B,93,93,90.5,91,12387
2000/02/14,C,58.5,59,57.5,57.5,40809
2000/02/15,A,36.1,36.5,35.8,36.5,42679
2000/02/15,B,91,91,89,89.5,8755
2000/02/15,C,57,57.5,56,57.5,26035
2000/02/16,A,36.5,36.8,36.2,36.3,32788
2000/02/16,B,90,91,89.5,90,5705
2000/02/16,C,57.5,58,56.5,56.5,26946
2000/02/17,A,36.3,37.2,36.2,36.3,66194
2000/02/17,B,90,93,90,91,14684
2000/02/17,C,56.5,58,56.5,57.5,32584
2000/02/18,A,36.5,36.7,35.1,35.2,56381
2000/02/18,B,92.5,93,90,90,10822
2000/02/18,C,58,58,56.5,56.5,32074
2000/02/19,A,35.7,36.4,35.5,35.9,34596
2000/02/19,B,90,91,89,90,6931
2000/02/19,C,56.5,57,56,56,22548
2000/02/21,A,36,36.7,35.5,35.5,48986
2000/02/21,B,90,92,90,90,12828
2000/02/21,C,56,57.5,56,56,41729
2000/02/22,A,35.5,36,33.1,33.8,31754
2000/02/22,B,90,90.5,87,88,9024
2000/02/22,C,56,56.5,53.5,54,29320
2000/02/23,A,33.9,34.3,33.1,33.3,20713
2000/02/23,B,88,90,87.5,88,7337
2000/02/23,C,54,55,53,53,21928
2000/02/24,A,33.5,34.1,33.2,33.6,23394
2000/02/24,B,88.5,89,87,87,6918
2000/02/24,C,53.5,54,52,52.5,24389
2000/02/25,A,33.8,34.1,33,33.1,28185
2000/02/25,B,87,87.5,85,85,10804
2000/02/25,C,52,52.5,51,51.5,27983
2000/02/29,A,33.9,33.9,33,33,16855
2000/02/29,B,85.5,87,85,85,4526
2000/02/29,C,52.5,53,51.5,52,18263
2000/03/01,A,33.5,33.8,33.1,33.6,20513
2000/03/01,B,86.5,87,85.5,87,4877
2000/03/01,C,52.5,54,52,54,22639
2000/03/02,A,33.9,33.9,32.1,32.2,20657
2000/03/02,B,87,87.5,85.5,85.5,3881
2000/03/02,C,54,54,52,52,13366
2000/03/03,A,33,33.7,32.8,32.9,31801
2000/03/03,B,85.5,86.5,85,85.5,4578
2000/03/03,C,52,53,52,52.5,10386
2000/03/04,A,33.3,33.3,32.2,32.2,16288
2000/03/04,B,86,86,84,84,4432
2000/03/04,C,53,53,51.5,51.5,10838
2000/03/06,A,32.4,32.4,31.5,31.5,13069
2000/03/06,B,84,84.5,83,83,6056
2000/03/06,C,51.5,52,51,51,13323
2000/03/07,A,31.3,32.2,30.8,31,31138
2000/03/07,B,83,84.5,82,83,9085
2000/03/07,C,51,52,51,51,15979
2000/03/08,A,31,31.3,30.4,30.4,22313
2000/03/08,B,82.5,83.5,82,83,6480
2000/03/08,C,51.5,52,51,51,12241
2000/03/09,A,30.7,31.8,30.7,31.7,24143
2000/03/09,B,83,83.5,82.5,82.5,7118
2000/03/09,C,51.5,52,51.5,52,15096
2000/03/10,A,32,32.7,31.2,31.3,26090
2000/03/10,B,83,84,82.5,82.5,7411
2000/03/10,C,52.5,54.5,52.5,54.5,87568
2000/03/13,A,31.5,31.5,29.2,29.2,19137
2000/03/13,B,82,82,77,77,11815
