日期(0), 名稱(1), 開盤價(2), 高點(3), 低點(4), 收盤價(5), 成交量(6)

1999/1/5,A,178,178,174,174,5168
1999/1/5,B,57,57.5,55.5,57,2554
1999/1/5,C,299,299,291,293,6952
1999/1/5,D,40.2,40.2,38.2,38.9,29607
1999/1/6,A,174,176,170,174,7252
1999/1/6,B,55.5,58.5,55.5,58,2894
1999/1/6,C,293,295,286,291,7458
1999/1/6,D,38.3,41.2,38.3,40.2,52099
1999/1/7,A,175,177,171,176,8267
1999/1/7,B,58.5,60,57,59,3582
1999/1/7,C,293,295,286,295,9969
1999/1/7,D,42.3,43,41.3,43,97612
1999/1/8,A,174,177,174,176,6836
1999/1/8,B,59,60,58,58.5,2387
1999/1/8,C,295,295,290,290,7089
1999/1/8,D,43.5,45.6,43.4,44.4,153318
1999/1/11,A,179,185,177,184,21608
1999/1/11,B,58.5,59.5,58,58.5,2341
1999/1/11,C,290,297,290,293,7585
1999/1/11,D,45.2,47,45.2,46.3,145613
1999/1/12,A,185,192,183,188,22506
1999/1/12,B,59,60.5,58,59.5,3126
1999/1/12,C,296,299,293,296,5206
1999/1/12,D,47,47,45.8,46.3,74262
1999/1/13,A,185,192,185,190,12682
1999/1/13,B,59,59,57,57.5,1438
1999/1/13,C,293,296,293,294,3432
1999/1/13,D,44.6,47.5,44.6,47,139904
1999/1/14,A,190,190,179,181,18827
1999/1/14,B,57,57,55,55.5,3316
1999/1/14,C,292,294,288,290,5424
1999/1/14,D,47,47.5,45.1,46.3,91074
1999/1/15,A,177,185,177,184,8792
1999/1/15,B,55,57,54,56.5,2975
1999/1/15,C,285,296,285,294,6099
1999/1/15,D,45.5,47.6,45.2,47.6,101225
1999/1/16,A,185,187,181,182,10305
1999/1/16,B,57,58,56,56,2273
1999/1/16,C,295,300,291,294,11756
1999/1/16,D,48.5,49.1,47.1,47.1,172965
1999/1/18,A,180,182,178,178,4248
1999/1/18,B,56,56,54,54.5,1535
1999/1/18,C,294,298,290,290,4757
1999/1/18,D,46.8,47.2,46.1,46.1,50531
1999/1/19,A,177,180,174,176,6719
1999/1/19,B,54,55,53.5,53.5,1855
1999/1/19,C,288,292,286,286,4173
1999/1/19,D,45.8,46.5,45.4,45.6,46294
1999/1/20,A,175,176,173,174,5733
1999/1/20,B,53.5,54,52,52,3121
1999/1/20,C,286,288,282,282,5763
1999/1/20,D,45.8,46.5,45.3,46.2,49689
1999/1/21,A,173,178,172,174,8365
1999/1/21,B,52,53,52,52,2718
1999/1/21,C,281,289,279,281,8048
1999/1/21,D,46.7,47.3,46.2,46.2,66211
1999/1/22,A,172,175,172,175,6655
1999/1/22,B,52,52,50.5,51,1580
1999/1/22,C,278,280,275,277,6269
1999/1/22,D,45.9,46.2,45.2,45.3,43120
1999/1/25,A,175,177,172,174,12201
1999/1/25,B,50,50.5,49,49,1629
1999/1/25,C,274,275,265,266,6128
1999/1/25,D,45,45,42.7,43.3,45977
1999/1/26,A,175,178,173,178,7551
1999/1/26,B,49.5,50.5,49,50.5,1754
1999/1/26,C,267,273,265,273,5130
1999/1/26,D,43.6,46.2,43.1,46.2,51036
1999/1/27,A,181,182,176,177,7250
1999/1/27,B,51,51.5,50.5,51,1609
1999/1/27,C,277,281,274,277,4857
1999/1/27,D,46.7,47.5,46.1,46.2,116567
1999/1/28,A,175,177,174,174,3808
1999/1/28,B,51,51,49.5,49.6,975
1999/1/28,C,275,277,273,274,2526
1999/1/28,D,45.7,46.2,45.1,45.2,39851
1999/1/29,A,176,176,172,173,5569
1999/1/29,B,50,50,48.5,48.6,1250
1999/1/29,C,275,276,270,270,3524
1999/1/29,D,45.9,46.5,45.5,45.7,86710
1999/1/30,A,173,175,172,172,5289
1999/1/30,B,48.6,51,48.3,49.6,1937
1999/1/30,C,270,274,268,271,3357
1999/1/30,D,45.7,47,45.3,45.3,69040
1999/2/1,A,171,171,160,161,11184
1999/2/1,B,49.2,49.2,48.5,48.5,699
1999/2/1,C,272,272,266,268,3667
1999/2/1,D,45,45,43.2,43.7,49759
1999/2/2,A,160,161,154,155,7999
1999/2/2,B,48.6,49,47,47.1,943
1999/2/2,C,268,269,255,260,4132
1999/2/2,D,43.6,43.9,42,42.7,38497
1999/2/3,A,152,161,150,161,10196
1999/2/3,B,46.3,49.5,46,49,1881
1999/2/3,C,255,265,248,260,7302
1999/2/3,D,41.7,45,41.7,44.6,61626
1999/2/4,A,160,161,158,160,8243
1999/2/4,B,48.7,49.2,46.5,46.5,1392
1999/2/4,C,260,260,252,253,4096
1999/2/4,D,44.6,45,42.5,42.9,46963
1999/2/5,A,160,166,160,163,8311
1999/2/5,B,46.5,49.5,46.5,47.7,2247
1999/2/5,C,252,262,252,260,5421
1999/2/5,D,43,44.7,42.9,43.8,55064
1999/2/6,A,164,167,162,166,5895
1999/2/6,B,48.4,50.5,47.5,50,3904
1999/2/6,C,261,274,260,273,6111
1999/2/6,D,44.5,44.8,43.5,44.5,57665
1999/2/8,A,167,171,166,166,8282
1999/2/8,B,50,51,49,50,3196
1999/2/8,C,275,277,271,273,6039
1999/2/8,D,44.5,45.3,43.8,44.3,58145
1999/2/9,A,166,166,165,165,2765
1999/2/9,B,50,50,48.5,48.7,1110
1999/2/9,C,273,273,269,269,2618
1999/2/9,D,44.4,45.1,44,44.3,64189
1999/2/10,A,160,165,160,161,5682
1999/2/10,B,48,49.1,47.8,48.5,1089
1999/2/10,C,265,268,264,267,3490
1999/2/10,D,43.8,44.5,43.6,43.9,36564
1999/2/20,A,166,166,161,161,6206
1999/2/20,B,49,51,48.8,50.5,2223
1999/2/20,C,285,285,274,276,5056
1999/2/20,D,44.9,46.4,44.3,46,75629
1999/2/22,A,162,166,161,166,8095
1999/2/22,B,51,52,49.5,51,3261
1999/2/22,C,276,281,275,278,4636
1999/2/22,D,46,47.2,45.7,46.3,89457
1999/2/23,A,166,167,156,157,7394
1999/2/23,B,51,51,49,49.2,1374
1999/2/23,C,278,278,266,266,5037
1999/2/23,D,46.4,46.7,44.4,44.6,51084
1999/2/24,A,156,158,155,155,5817
1999/2/24,B,49,49.5,48.7,48.8,1311
1999/2/24,C,266,272,265,272,4184
1999/2/24,D,44.5,46.4,44.5,46.3,62913
1999/2/25,A,155,158,153,154,7615
1999/2/25,B,48.8,49.9,48.7,48.8,1511
1999/2/25,C,273,276,268,269,3331
1999/2/25,D,47,48.1,46.5,46.8,154103
1999/2/26,A,155,160,155,160,5920
1999/2/26,B,48.8,48.9,48.2,48.9,752
1999/2/26,C,267,270,267,270,2132
1999/2/26,D,47,48.4,46.5,48.4,90844
1999/3/1,A,161,163,160,161,4014
1999/3/1,B,49.7,49.7,49,49.1,788
1999/3/1,C,270,272,269,270,2547
1999/3/1,D,48.5,49,47.8,48.5,106223
1999/3/2,A,161,163,157,163,3505
1999/3/2,B,49.3,49.4,48.5,48.7,601
1999/3/2,C,253,263,253,256,10928
1999/3/2,D,48.1,48.1,46.8,47.5,73266
1999/3/3,A,162,165,161,162,4047
1999/3/3,B,48.5,49.2,48.5,49,632
1999/3/3,C,250,257,248,256,9733
1999/3/3,D,47,49,47,48.9,85476
1999/3/4,A,162,165,151,154,9963
1999/3/4,B,49.2,50.5,49,49.6,2182
1999/3/4,C,263,270,262,265,12489
1999/3/4,D,48.9,49.3,47.5,47.5,85416
1999/3/5,A,154,156,152,155,6575
1999/3/5,B,50,50,49,49,877
1999/3/5,C,266,268,261,263,4322
1999/3/5,D,47.5,47.9,47,47.3,57423
1999/3/6,A,157,157,154,155,3584
1999/3/6,B,49.8,50,49.2,49.2,1129
1999/3/6,C,268,270,265,265,3388
1999/3/6,D,48.3,49.1,48.1,48.2,116623
1999/3/8,A,155,157,154,156,2548
1999/3/8,B,50,51,50,50.5,2885
1999/3/8,C,266,266,262,265,2128
1999/3/8,D,48.8,50.5,48.5,50,132052
1999/3/9,A,157,166,157,166,12387
1999/3/9,B,51,52.5,51,52,4314
1999/3/9,C,265,272,265,270,5734
1999/3/9,D,50.5,51.5,50,50,133074
1999/3/10,A,166,167,164,164,5492
1999/3/10,B,52,52,50.5,51,1211
1999/3/10,C,271,271,268,269,2875
1999/3/10,D,50,51.5,49.6,51.5,84265
1999/3/11,A,164,167,164,164,3722
1999/3/11,B,51,52,50.5,50.5,2530
1999/3/11,C,270,273,270,270,3258
1999/3/11,D,51.5,52,51,51,76917
1999/3/12,A,164,165,163,165,2622
1999/3/12,B,50.5,50.5,50,50,885
1999/3/12,C,272,272,269,272,2430
1999/3/12,D,51,52,50.5,51.5,69651
1999/3/15,A,165,168,163,168,3637
1999/3/15,B,50,52.5,50,52.5,2635
1999/3/15,C,272,277,272,276,4695
1999/3/15,D,52,55,51.5,55,147551
1999/3/16,A,170,176,170,173,8590
1999/3/16,B,53.5,54,52,52.5,4450
1999/3/16,C,282,288,280,287,11535
1999/3/16,D,56,57.5,55,56.5,224772
1999/3/17,A,175,175,172,174,4867
1999/3/17,B,53,53.5,52,53,3170
1999/3/17,C,287,287,282,283,4662
