日期(0), 名稱(1), 開盤價(2), 高點(3), 低點(4), 收盤價(5), 成交量(6)

1999/01/05,A,20,20,18.8,18.8,9246
1999/01/05,B,103,103,100,100,7801
1999/01/05,C,59,59,56,56,13371
1999/01/06,A,18.2,19.5,18,19,9380
1999/01/06,B,100,103.5,97.5,101,7713
1999/01/06,C,56,58,54,57,19101
1999/01/07,A,19.5,19.8,19,19.7,8225
1999/01/07,B,103,104,101,103,6770
1999/01/07,C,58,59,56.5,58,13602
1999/01/08,A,19.7,19.8,19.2,19.3,7139
1999/01/08,B,102.5,107,101,107,11940
1999/01/08,C,58,59,57,57.5,13368
1999/01/11,A,19.3,19.5,18.9,18.9,5012
1999/01/11,B,105.5,105.5,103,103,6901
1999/01/11,C,58,58.5,56.5,57,8497
1999/01/12,A,18.9,19.4,18.8,18.8,4134
1999/01/12,B,103,105,102,102,5443
1999/01/12,C,57,57.5,56,56,9295
1999/01/13,A,18.8,19,18.6,18.7,3444
1999/01/13,B,102,103,101,101.5,4306
1999/01/13,C,56,56,55,55.5,9917
1999/01/14,A,18.5,18.9,18.5,18.7,4244
1999/01/14,B,101,102,100.5,100.5,5530
1999/01/14,C,55,56,55,55.5,8667
1999/01/15,A,18.6,20,18.6,20,13114
1999/01/15,B,100,107,100,105.5,14648
1999/01/15,C,55,58.5,55,58.5,16816
1999/01/16,A,20.4,21,20.2,20.6,19362
1999/01/16,B,105.5,108,105,105,14667
1999/01/16,C,59,60,58,58,20780
1999/01/18,A,20.6,20.6,20,20,7083
1999/01/18,B,105,105,102,102,5255
1999/01/18,C,58,58,56.5,56.5,6453
1999/01/19,A,20,20.5,19.8,19.9,6488
1999/01/19,B,102,104,102,104,4137
1999/01/19,C,56,57.5,56,56.5,6087
1999/01/20,A,20,20.1,19.6,19.6,3398
1999/01/20,B,104,104,102,103,3258
1999/01/20,C,56.5,57,56,56.5,4726
1999/01/21,A,19.6,20.3,19.6,19.8,7866
1999/01/21,B,103,105,103,103.5,6437
1999/01/21,C,56.5,58,56.5,56.5,7135
1999/01/22,A,19.9,20.2,19.7,19.7,5394
1999/01/22,B,104,104,102,102,4996
1999/01/22,C,56.5,57,56,56.5,6910
1999/01/25,A,19.4,19.5,18.9,19,4803
1999/01/25,B,101,102,100,100.5,6107
1999/01/25,C,56,56.5,55,55,9991
1999/01/26,A,19.1,19.7,19,19.7,3724
1999/01/26,B,100.5,102,100,101.5,3972
1999/01/26,C,55,56,55,55.5,7483
1999/01/27,A,19.7,19.8,19.3,19.3,3430
1999/01/27,B,102.5,102.5,101,101.5,3620
1999/01/27,C,56,56.5,55,55,7130
1999/01/28,A,19.1,19.4,19,19,3973
1999/01/28,B,101,102,100.5,100.5,2431
1999/01/28,C,55,55.5,54,54,10182
1999/01/29,A,19,19.2,18.7,18.8,4703
1999/01/29,B,100.5,101.5,100,100,4135
1999/01/29,C,54,54.5,52.5,52.5,13772
1999/01/30,A,18.8,19.1,18.7,18.8,2753
1999/01/30,B,100,102,100,100.5,4152
1999/01/30,C,52,53.5,51.5,53,9384
1999/02/01,A,18.6,18.9,18.5,18.5,3864
1999/02/01,B,100.5,100.5,98,98.5,6228
1999/02/01,C,52,52.5,50.5,50.5,9103
1999/02/02,A,18.5,18.8,18.1,18.4,5149
1999/02/02,B,98.5,99.5,97,97.5,6783
1999/02/02,C,50.5,51,48,48.3,21731
1999/02/03,A,18.1,18.4,17.4,17.6,8007
1999/02/03,B,96,97.5,94.5,95.5,8544
1999/02/03,C,46.3,48,46.3,47.1,19015
1999/02/04,A,17.2,17.2,16.4,16.4,12637
1999/02/04,B,95.5,96.5,92,92.5,9598
1999/02/04,C,47.1,47.5,43.9,44.1,24927
1999/02/05,A,15.3,16.2,15.3,15.3,23500
1999/02/05,B,92.5,94,91,91,9238
1999/02/05,C,43.8,46,43.8,44.3,22612
1999/02/06,A,15.8,16.3,15.8,16.3,15424
1999/02/06,B,91.5,95,91.5,94,8522
1999/02/06,C,45,47.4,45,47.4,21976
1999/02/08,A,17.2,17.4,17,17.4,25114
1999/02/08,B,96,97,94.5,95.5,7789
1999/02/08,C,49,50.5,48.7,50.5,33936
1999/02/09,A,17.4,17.6,17.1,17.6,12487
1999/02/09,B,95.5,95.5,94,94,4684
1999/02/09,C,50,50,49,49.1,16518
1999/02/10,A,17.5,18.8,17.3,18.7,29489
1999/02/10,B,94,96.5,93.5,95.5,6812
1999/02/10,C,48.7,50.5,48.6,49.9,22501
1999/02/20,A,20,20,20,20,12259
1999/02/20,B,102,102,100.5,102,9900
1999/02/20,C,53,53,52,53,24279
1999/02/22,A,21.4,21.4,21.4,21.4,9956
1999/02/22,B,109,109,109,109,16981
1999/02/22,C,54,56.5,54,56.5,40486
1999/02/23,A,22.8,22.8,21.6,21.9,81067
1999/02/23,B,113,113,107.5,109.5,44523
1999/02/23,C,57,57,53.5,53.5,45489
1999/02/24,A,21.9,22.7,21.6,22,60472
1999/02/24,B,111,113,109,112,26214
1999/02/24,C,53,54.5,52.5,54,27082
1999/02/25,A,22.6,23.5,22.3,23.5,84818
1999/02/25,B,112,113,109,109.5,16129
1999/02/25,C,54.5,55,53.5,54,17553
1999/02/26,A,23.4,23.5,22.6,23.3,32721
1999/02/26,B,109,109.5,108,109.5,7311
1999/02/26,C,54,54,53,53.5,8935
1999/03/01,A,23.1,23.1,22.3,22.5,23941
1999/03/01,B,109.5,109.5,108,108,5760
1999/03/01,C,54,54,53,53.5,8804
1999/03/02,A,22.8,23.1,22.3,22.7,25860
1999/03/02,B,108,110,106.5,107,7933
1999/03/02,C,54,54.5,53,53,8231
1999/03/03,A,22.7,24.2,22.7,24.2,66022
1999/03/03,B,107,112,106.5,109.5,15903
1999/03/03,C,53,55.5,53,54.5,18348
1999/03/04,A,25,25.3,24.5,24.6,113639
1999/03/04,B,111,111,107.5,107.5,8218
1999/03/04,C,54.5,55,53.5,53.5,10847
1999/03/05,A,24.7,25.2,23.7,25.2,65629
1999/03/05,B,108,109.5,107,107.5,7518
1999/03/05,C,53.5,54,53,53,8702
1999/03/06,A,25.6,26,25.1,25.3,81091
1999/03/06,B,109.5,110.5,108,108,11197
1999/03/06,C,54,54.5,53.5,54,9401
1999/03/08,A,25.1,25.3,24.7,24.9,26121
1999/03/08,B,109,109,108,109,4694
1999/03/08,C,54,54.5,53.5,54,4432
1999/03/09,A,24.5,25.6,24.4,24.9,56637
1999/03/09,B,109.5,110,109,109,8677
